P,urn:nasa:pds:soho:swan_derived:c_41p_tuttle_giacobini_kresak_2001_water_tab::1.2
P,urn:nasa:pds:soho:swan_derived:c_41p_tuttle_giacobini_kresak_2006_water_tab::1.2
P,urn:nasa:pds:soho:swan_derived:c_41p_tuttle_giacobini_kresak_2017_water_tab::1.1
P,urn:nasa:pds:soho:swan_derived:c_45p_honda_mrkos_pajdusakova_2001_water_tab::1.2
P,urn:nasa:pds:soho:swan_derived:c_45p_honda_mrkos_pajdusakova_2011_water_tab::1.2
P,urn:nasa:pds:soho:swan_derived:c_45p_honda_mrkos_pajdusakova_2017_water_tab::1.1
P,urn:nasa:pds:soho:swan_derived:c_46p_wirtanen_1997_water_tab::1.2
P,urn:nasa:pds:soho:swan_derived:c_46p_wirtanen_2002_water_tab::1.2
P,urn:nasa:pds:soho:swan_derived:c_46p_wirtanen_2008_water_tab::1.0
P,urn:nasa:pds:soho:swan_derived:c_46p_wirtanen_2018_water_tab::1.0
P,urn:nasa:pds:soho:swan_derived:c_55p_tempel_tuttle_1998_water_tab::1.2
P,urn:nasa:pds:soho:swan_derived:c_67p_churyumov_gerasimenko_1996_water_tab::1.2
P,urn:nasa:pds:soho:swan_derived:c_67p_churyumov_gerasimenko_2002_water_tab::1.2
P,urn:nasa:pds:soho:swan_derived:c_67p_churyumov_gerasimenko_2009_water_tab::1.2
P,urn:nasa:pds:soho:swan_derived:c_73p_schwassmann_wachmann_3b_2006_water_tab::1.2
P,urn:nasa:pds:soho:swan_derived:c_73p_schwassmann_wachmann_3c_2006water_tab::1.2
P,urn:nasa:pds:soho:swan_derived:c_73p_schwassmann_wachmann_3_2001_water_tab::1.2
P,urn:nasa:pds:soho:swan_derived:c_81p_wild_2_1997_water_tab::1.2
P,urn:nasa:pds:soho:swan_derived:c_8p_tuttle_2008_water_tab::1.2
P,urn:nasa:pds:soho:swan_derived:c_8p_tuttle_2021_water_tab::1.0
P,urn:nasa:pds:soho:swan_derived:c_96p_machholz_1_1996_water_tab::1.2
P,urn:nasa:pds:soho:swan_derived:c_96p_machholz_1_2002_water_tab::1.2
P,urn:nasa:pds:soho:swan_derived:c_96p_machholz_1_2007_water_tab::1.2
P,urn:nasa:pds:soho:swan_derived:c_96p_machholz_1_2012_water_tab::1.2
P,urn:nasa:pds:soho:swan_derived:c_96p_machholz_1_2017_water_tab::1.0
P,urn:nasa:pds:soho:swan_derived:c_9p_tempel_1_2005_water_tab::1.2
P,urn:nasa:pds:soho:swan_derived:d_1996_q1_tabur_water_tab::1.2
P,urn:nasa:pds:soho:swan_derived:d_1999_s4_linear_water_tab::1.2
P,urn:nasa:pds:soho:swan_derived:p_2001_og108_loneos_5_water_tab::1.2
