OBS_ID START.[UT] END.[UT] MIDTIME EXP_TIME.[s] FILTER HELIO.[AU] HELIOV.[km/s] RANGE.[AU] PHASE[deg] MODCOR gOH[ph/s/molec] PHASECOR[0deg] Z[molec/cm2/s]
00030420001 2006-05-02T06:13:15 2006-05-02T06:14:21 2453857.7595833335 65.704674 UVW1 -11.761123 0.11765265 -8.8879990 53.845898 0 2.1577111e-06 0.33845261 6.2058524e+21
00030420001 2006-05-02T06:15:44 2006-05-02T06:17:59 2453857.7617071765 134.78075 UVW2 -11.760667 0.11764249 -7.5937174 53.848070 0 2.1578783e-06 0.33845326 6.2056154e+21
00030420002 2006-05-02T06:20:22 2006-05-02T06:30:00 2453857.7674884265 315.68099 VGRISM -11.759425 0.11762182 -5.1072260 53.854498 0 2.1583338e-06 0.33845519 6.2049698e+21
00030425001 2006-05-02T07:41:12 2006-05-02T07:41:46 2453857.8204745376 33.248680 B -11.748031 0.11725843 -12.768189 53.980217 0 2.1625142e-06 0.33849381 6.1990489e+21
00030425001 2006-05-02T07:40:33 2006-05-02T07:41:07 2453857.8200231488 33.248680 U -11.748128 0.11726134 -13.068669 53.979684 0 2.1624785e-06 0.33849364 6.1990993e+21
00030425001 2006-05-02T07:39:22 2006-05-02T07:40:29 2453857.8193923617 65.726386 UVW1 -11.748264 0.11726553 -13.481454 53.978912 0 2.1624286e-06 0.33849340 6.1991699e+21
00030425001 2006-05-02T07:41:53 2006-05-02T07:44:01 2453857.8214930561 128.63381 UVW2 -11.747812 0.11725188 -12.090184 53.981420 0 2.1625948e-06 0.33849418 6.1989350e+21
00030425002 2006-05-02T07:44:24 2006-05-02T07:54:00 2453857.8258333337 384.21242 UGRISM -11.746878 0.11722395 -9.2009584 53.986546 0 2.1629381e-06 0.33849578 6.1984496e+21
00030428001 2006-05-02T09:20:04 2006-05-02T09:20:38 2453857.8891319446 33.248660 B -11.733239 0.11681587 -11.632007 54.124763 0 2.1679604e-06 0.33853954 6.1913619e+21
00030428001 2006-05-02T09:23:42 2006-05-02T09:25:01 2453857.8919155099 79.801973 UVM2 -11.732639 0.11680063 -9.8286035 54.127769 0 2.1681820e-06 0.33854051 6.1910499e+21
00030428001 2006-05-02T09:19:26 2006-05-02T09:19:59 2453857.8886863431 33.237795 U -11.733335 0.11681884 -11.912373 54.124197 0 2.1679249e-06 0.33853936 6.1914119e+21
