Radial grid size: 150	Angular grid size: 80	Radial substeps: 80

Q: 1.00000e28 mol/s	Parent dissociative lifetime: 1.33000e6 s	Parent total lifetime: 1.33000e6 s	Parent outflow velocity: 5.00000e2 m/s
Parent cross sectional area: 3.00000e-20 m^2	Fragment total lifetime: 2.60000e6 s	Fragment velocity: 8.00000e2 m/s
Parent destruction level: 99.0%	Fragment destruction level: 95.0%

Collision sphere radius: 1.50000e2 km
Coma radius: 7.06906e6 km
Max grid extent: 2.16772e7 km

r (meters)											volume density (1/m^3)
1.0000000000000000000000000e3,	1.9634954084936206974987272e-2,	7.3025116267399023437500000e11
1.0000000000000000000000000e3,	5.8904862254808620924961815e-2,	2.3976333075455569458007812e11
1.0000000000000000000000000e3,	9.8174770424681034874936358e-2,	1.4116345047060635375976562e11
1.0000000000000000000000000e3,	1.3744467859455344882491090e-1,	9.8879288993148391723632812e10
1.0000000000000000000000000e3,	1.7671458676442586277488545e-1,	7.5403631848425643920898438e10
1.0000000000000000000000000e3,	2.1598449493429827672485999e-1,	6.0485006966403587341308594e10
1.0000000000000000000000000e3,	2.5525440310417069067483453e-1,	5.0175944774615196228027344e10
1.0000000000000000000000000e3,	2.9452431127404310462480908e-1,	4.2632959312086570739746094e10
1.0000000000000000000000000e3,	3.3379421944391551857478362e-1,	3.6879619377974815368652344e10
1.0000000000000000000000000e3,	3.7306412761378793252475816e-1,	3.2350441120103149414062500e10
1.0000000000000000000000000e3,	4.1233403578366034647473271e-1,	2.8695291654143741607666016e10
1.0000000000000000000000000e3,	4.5160394395353276042470725e-1,	2.5685799064593070983886719e10
1.0000000000000000000000000e3,	4.9087385212340517437468179e-1,	2.3166667780588775634765625e10
1.0000000000000000000000000e3,	5.3014376029327758832465634e-1,	2.1028623640994953155517578e10
1.0000000000000000000000000e3,	5.6941366846315000227463088e-1,	1.9192550330134555816650391e10
1.0000000000000000000000000e3,	6.0868357663302241622460542e-1,	1.7599764649417659759521484e10
1.0000000000000000000000000e3,	6.4795348480289483017457997e-1,	1.6205827057653575897216797e10
1.0000000000000000000000000e3,	6.8722339297276724412455451e-1,	1.4976473770179630279541016e10
1.0000000000000000000000000e3,	7.2649330114263965807452905e-1,	1.3884867871053281784057617e10
1.0000000000000000000000000e3,	7.6576320931251207202450360e-1,	1.2909696053108873367309570e10
1.0000000000000000000000000e3,	8.0503311748238448597447814e-1,	1.2033822286744882583618164e10
1.0000000000000000000000000e3,	8.4430302565225689992445268e-1,	1.1243317111665534973144531e10
1.0000000000000000000000000e3,	8.8357293382212931387442723e-1,	1.0526745691178777694702148e10
1.0000000000000000000000000e3,	9.2284284199200172782440177e-1,	9.8746375380363292694091797e9
1.0000000000000000000000000e3,	9.6211275016187414177437631e-1,	9.2790859841867351531982422e9
1.0000000000000000000000000e3,	1.0013826583317464447020484e0,	8.7334417512138423919677734e9
1.0000000000000000000000000e3,	1.0406525665016190806966279e0,	8.2320757339476871490478516e9
1.0000000000000000000000000e3,	1.0799224746714912726019975e0,	7.7701933472496433258056641e9
1.0000000000000000000000000e3,	1.1191923828413639085965769e0,	7.3436877399799413681030273e9
1.0000000000000000000000000e3,	1.1584622910112361005019466e0,	6.9490226250342864990234375e9
1.0000000000000000000000000e3,	1.1977321991811087364965260e0,	6.5831379051823902130126953e9
1.0000000000000000000000000e3,	1.2370021073509809284018957e0,	6.2433730133798780441284180e9
1.0000000000000000000000000e3,	1.2762720155208535643964751e0,	5.9274041461951465606689453e9
1.0000000000000000000000000e3,	1.3155419236907257563018447e0,	5.6331924927882823944091797e9
1.0000000000000000000000000e3,	1.3548118318605983922964242e0,	5.3589412464888687133789062e9
1.0000000000000000000000000e3,	1.3940817400304705842017938e0,	5.1030596980911474227905273e9
1.0000000000000000000000000e3,	1.4333516482003432201963733e0,	4.8641330958133230209350586e9
1.0000000000000000000000000e3,	1.4726215563702154121017429e0,	4.6408972489800949096679688e9
1.0000000000000000000000000e3,	1.5118914645400880480963224e0,	4.4322170740450553894042969e9
1.0000000000000000000000000e3,	1.5511613727099602400016920e0,	4.2370684493634290695190430e9
1.0000000000000000000000000e3,	1.5904312808798328759962715e0,	4.0545228716204543113708496e9
1.0000000000000000000000000e3,	1.6297011890497050679016411e0,	3.8837345015482149124145508e9
1.0000000000000000000000000e3,	1.6689710972195777038962206e0,	3.7239292570396909713745117e9
1.0000000000000000000000000e3,	1.7082410053894498958015902e0,	3.5743956640773005485534668e9
1.0000000000000000000000000e3,	1.7475109135593225317961696e0,	3.4344772150167441368103027e9
1.0000000000000000000000000e3,	1.7867808217291947237015393e0,	3.3035660137641997337341309e9
1.0000000000000000000000000e3,	1.8260507298990673596961187e0,	3.1810975114674601554870605e9
1.0000000000000000000000000e3,	1.8653206380689395516014883e0,	3.0665461569232430458068848e9
1.0000000000000000000000000e3,	1.9045905462388121875960678e0,	2.9594218046492571830749512e9
1.0000000000000000000000000e3,	1.9438604544086843795014374e0,	2.8592667414831337928771973e9
1.0000000000000000000000000e3,	1.9831303625785567934514120e0,	2.7656532101031198501586914e9
1.0000000000000000000000000e3,	2.0224002707484292074013865e0,	2.6781813250616779327392578e9
1.0000000000000000000000000e3,	2.0616701789183018433959660e0,	2.5964772935642900466918945e9
1.0000000000000000000000000e3,	2.1009400870881744793905455e0,	2.5201918689686632156372070e9
1.0000000000000000000000000e3,	2.1402099952580462272067052e0,	2.4489989794646782875061035e9
1.0000000000000000000000000e3,	2.1794799034279188632012847e0,	2.3825944873265242576599121e9
1.0000000000000000000000000e3,	2.2187498115977914991958642e0,	2.3206950453131294250488281e9
1.0000000000000000000000000e3,	2.2580197197676641351904436e0,	2.2630370261581106185913086e9
1.0000000000000000000000000e3,	2.2972896279375358830066034e0,	2.2093755086722798347473145e9
1.0000000000000000000000000e3,	2.3365595361074085190011829e0,	2.1594833099046306610107422e9
1.1200435721479254880250664e3,	1.9634954084936206974987272e-2,	6.5198448578403967285156250e11
1.1200435721479254880250664e3,	5.8904862254808620924961815e-2,	2.1406603632837860107421875e11
1.1200435721479254880250664e3,	9.8174770424681034874936358e-2,	1.2603386914666101074218750e11
1.1200435721479254880250664e3,	1.3744467859455344882491090e-1,	8.8281628767636108398437500e10
1.1200435721479254880250664e3,	1.7671458676442586277488545e-1,	6.7322039581960685729980469e10
1.1200435721479254880250664e3,	2.1598449493429827672485999e-1,	5.4002359222161750793457031e10
1.1200435721479254880250664e3,	2.5525440310417069067483453e-1,	4.4798199015871887207031250e10
1.1200435721479254880250664e3,	2.9452431127404310462480908e-1,	3.8063653674663299560546875e10
1.1200435721479254880250664e3,	3.3379421944391551857478362e-1,	3.2926943693348197937011719e10
1.1200435721479254880250664e3,	3.7306412761378793252475816e-1,	2.8883192504169235229492188e10
1.1200435721479254880250664e3,	4.1233403578366034647473271e-1,	2.5619793675676143646240234e10
1.1200435721479254880250664e3,	4.5160394395353276042470725e-1,	2.2932851679018688201904297e10
1.1200435721479254880250664e3,	4.9087385212340517437468179e-1,	2.0683715172111541748046875e10
1.1200435721479254880250664e3,	5.3014376029327758832465634e-1,	1.8774821751682437896728516e10
1.1200435721479254880250664e3,	5.6941366846315000227463088e-1,	1.7135534610069801330566406e10
1.1200435721479254880250664e3,	6.0868357663302241622460542e-1,	1.5713460081315132141113281e10
1.1200435721479254880250664e3,	6.4795348480289483017457997e-1,	1.4468921553807947158813477e10
1.1200435721479254880250664e3,	6.8722339297276724412455451e-1,	1.3371327557855302810668945e10
1.1200435721479254880250664e3,	7.2649330114263965807452905e-1,	1.2396717497467880249023438e10
1.1200435721479254880250664e3,	7.6576320931251207202450360e-1,	1.1526062377522647857666016e10
1.1200435721479254880250664e3,	8.0503311748238448597447814e-1,	1.0744062769290952682495117e10
1.1200435721479254880250664e3,	8.4430302565225689992445268e-1,	1.0038282140499780654907227e10
1.1200435721479254880250664e3,	8.8357293382212931387442723e-1,	9.3985112143624267578125000e9
1.1200435721479254880250664e3,	9.2284284199200172782440177e-1,	8.8162945290053272247314453e9
1.1200435721479254880250664e3,	9.6211275016187414177437631e-1,	8.2845728351480550765991211e9
1.1200435721479254880250664e3,	1.0013826583317464447020484e0,	7.7974095089697036743164062e9
1.1200435721479254880250664e3,	1.0406525665016190806966279e0,	7.3497787600361661911010742e9
1.1200435721479254880250664e3,	1.0799224746714912726019975e0,	6.9373998759770116806030273e9
1.1200435721479254880250664e3,	1.1191923828413639085965769e0,	6.5566061686479625701904297e9
1.1200435721479254880250664e3,	1.1584622910112361005019466e0,	6.2042403621790266036987305e9
1.1200435721479254880250664e3,	1.1977321991811087364965260e0,	5.8775703336220369338989258e9
1.1200435721479254880250664e3,	1.2370021073509809284018957e0,	5.5742206694743051528930664e9
1.1200435721479254880250664e3,	1.2762720155208535643964751e0,	5.2921166262845916748046875e9
1.1200435721479254880250664e3,	1.3155419236907257563018447e0,	5.0294379083326673507690430e9
1.1200435721479254880250664e3,	1.3548118318605983922964242e0,	4.7845802866087617874145508e9
1.1200435721479254880250664e3,	1.3940817400304705842017938e0,	4.5561235405078802108764648e9
1.1200435721479254880250664e3,	1.4333516482003432201963733e0,	4.3428045481302490234375000e9
1.1200435721479254880250664e3,	1.4726215563702154121017429e0,	4.1434946118835248947143555e9
1.1200435721479254880250664e3,	1.5118914645400880480963224e0,	3.9571803038938422203063965e9
1.1200435721479254880250664e3,	1.5511613727099602400016920e0,	3.7829472655428147315979004e9
1.1200435721479254880250664e3,	1.5904312808798328759962715e0,	3.6199665083851575851440430e9
1.1200435721479254880250664e3,	1.6297011890497050679016411e0,	3.4674828482762417793273926e9
1.1200435721479254880250664e3,	1.6689710972195777038962206e0,	3.3248051674615154266357422e9
1.1200435721479254880250664e3,	1.7082410053894498958015902e0,	3.1912982460818824768066406e9
1.1200435721479254880250664e3,	1.7475109135593225317961696e0,	3.0663759394794821739196777e9
1.1200435721479254880250664e3,	1.7867808217291947237015393e0,	2.9494955044705176353454590e9
1.1200435721479254880250664e3,	1.8260507298990673596961187e0,	2.8401528992532534599304199e9
1.1200435721479254880250664e3,	1.8653206380689395516014883e0,	2.7378788999949712753295898e9
1.1200435721479254880250664e3,	1.9045905462388121875960678e0,	2.6422358938788948059082031e9
1.1200435721479254880250664e3,	1.9438604544086843795014374e0,	2.5528152243856744766235352e9
1.1200435721479254880250664e3,	1.9831303625785567934514120e0,	2.4692349802376804351806641e9
1.1200435721479254880250664e3,	2.0224002707484292074013865e0,	2.3911381347875180244445801e9
1.1200435721479254880250664e3,	2.0616701789183018433959660e0,	2.3181909574898719787597656e9
1.1200435721479254880250664e3,	2.1009400870881744793905455e0,	2.2500816331512441635131836e9
1.1200435721479254880250664e3,	2.1402099952580462272067052e0,	2.1865190375849823951721191e9
1.1200435721479254880250664e3,	2.1794799034279188632012847e0,	2.1272316298440008163452148e9
1.1200435721479254880250664e3,	2.2187498115977914991958642e0,	2.0719664311896839141845703e9
1.1200435721479254880250664e3,	2.2580197197676641351904436e0,	2.0204880693166897296905518e9
1.1200435721479254880250664e3,	2.2972896279375358830066034e0,	1.9725778731227204799652100e9
1.1200435721479254880250664e3,	2.3365595361074085190011829e0,	1.9280330086002802848815918e9
1.2544976035098852662486024e3,	1.9634954084936206974987272e-2,	5.8210624279762426757812500e11
1.2544976035098852662486024e3,	5.8904862254808620924961815e-2,	1.9112291602022048950195312e11
1.2544976035098852662486024e3,	9.8174770424681034874936358e-2,	1.1252583990550781250000000e11
1.2544976035098852662486024e3,	1.3744467859455344882491090e-1,	7.8819800237890136718750000e10
1.2544976035098852662486024e3,	1.7671458676442586277488545e-1,	6.0106612908011909484863281e10
1.2544976035098852662486024e3,	2.1598449493429827672485999e-1,	4.8214506048015792846679688e10
1.2544976035098852662486024e3,	2.5525440310417069067483453e-1,	3.9996827093861129760742188e10
1.2544976035098852662486024e3,	2.9452431127404310462480908e-1,	3.3984075209106781005859375e10
1.2544976035098852662486024e3,	3.3379421944391551857478362e-1,	2.9397906267560543060302734e10
1.2544976035098852662486024e3,	3.7306412761378793252475816e-1,	2.5787555243128608703613281e10
1.2544976035098852662486024e3,	4.1233403578366034647473271e-1,	2.2873920162411190032958984e10
1.2544976035098852662486024e3,	4.5160394395353276042470725e-1,	2.0474958563047401428222656e10
1.2544976035098852662486024e3,	4.9087385212340517437468179e-1,	1.8466879443380561828613281e10
1.2544976035098852662486024e3,	5.3014376029327758832465634e-1,	1.6762576920005111694335938e10
1.2544976035098852662486024e3,	5.6941366846315000227463088e-1,	1.5298984880030895233154297e10
1.2544976035098852662486024e3,	6.0868357663302241622460542e-1,	1.4029325093173311233520508e10
1.2544976035098852662486024e3,	6.4795348480289483017457997e-1,	1.2918173398082490921020508e10
1.2544976035098852662486024e3,	6.8722339297276724412455451e-1,	1.1938217050162469863891602e10
1.2544976035098852662486024e3,	7.2649330114263965807452905e-1,	1.1068063496332889556884766e10
1.2544976035098852662486024e3,	7.6576320931251207202450360e-1,	1.0290723226451013565063477e10
1.2544976035098852662486024e3,	8.0503311748238448597447814e-1,	9.5925365702034111022949219e9
1.2544976035098852662486024e3,	8.4430302565225689992445268e-1,	8.9623999149104614257812500e9
1.2544976035098852662486024e3,	8.8357293382212931387442723e-1,	8.3911981911322374343872070e9
1.2544976035098852662486024e3,	9.2284284199200172782440177e-1,	7.8713821743951673507690430e9
1.2544976035098852662486024e3,	9.6211275016187414177437631e-1,	7.3966492098871927261352539e9
1.2544976035098852662486024e3,	1.0013826583317464447020484e0,	6.9616989477797689437866211e9
1.2544976035098852662486024e3,	1.0406525665016190806966279e0,	6.5620442505544795989990234e9
1.2544976035098852662486024e3,	1.0799224746714912726019975e0,	6.1938632029636049270629883e9
1.2544976035098852662486024e3,	1.1191923828413639085965769e0,	5.8538821042487344741821289e9
1.2544976035098852662486024e3,	1.1584622910112361005019466e0,	5.5392820682630338668823242e9
1.2544976035098852662486024e3,	1.1977321991811087364965260e0,	5.2476237948469257354736328e9
1.2544976035098852662486024e3,	1.2370021073509809284018957e0,	4.9767864619696617126464844e9
1.2544976035098852662486024e3,	1.2762720155208535643964751e0,	4.7249176925115852355957031e9
1.2544976035098852662486024e3,	1.3155419236907257563018447e0,	4.4903922859480037689208984e9
1.2544976035098852662486024e3,	1.3548118318605983922964242e0,	4.2717779509199795722961426e9
1.2544976035098852662486024e3,	1.3940817400304705842017938e0,	4.0678066828657093048095703e9
1.2544976035098852662486024e3,	1.4333516482003432201963733e0,	3.8773507384419341087341309e9
1.2544976035098852662486024e3,	1.4726215563702154121017429e0,	3.6994023913170180320739746e9
1.2544976035098852662486024e3,	1.5118914645400880480963224e0,	3.5330568305276803970336914e9
1.2544976035098852662486024e3,	1.5511613727099602400016920e0,	3.3774976963451519012451172e9
1.2544976035098852662486024e3,	1.5904312808798328759962715e0,	3.2319848494296231269836426e9
1.2544976035098852662486024e3,	1.6297011890497050679016411e0,	3.0958440445619988441467285e9
1.2544976035098852662486024e3,	1.6689710972195777038962206e0,	2.9684582364207415580749512e9
1.2544976035098852662486024e3,	1.7082410053894498958015902e0,	2.8492602865682120323181152e9
1.2544976035098852662486024e3,	1.7475109135593225317961696e0,	2.7377268719975872039794922e9
1.2544976035098852662486024e3,	1.7867808217291947237015393e0,	2.6333734195031409263610840e9
1.2544976035098852662486024e3,	1.8260507298990673596961187e0,	2.5357499093336844444274902e9
1.2544976035098852662486024e3,	1.8653206380689395516014883e0,	2.4444374079951624870300293e9
1.2544976035098852662486024e3,	1.9045905462388121875960678e0,	2.3590452050117659568786621e9
1.2544976035098852662486024e3,	1.9438604544086843795014374e0,	2.2792084427343320846557617e9
1.2544976035098852662486024e3,	1.9831303625785567934514120e0,	2.2045861422607722282409668e9
1.2544976035098852662486024e3,	2.0224002707484292074013865e0,	2.1348595422408754825592041e9
1.2544976035098852662486024e3,	2.0616701789183018433959660e0,	2.0697306806031558513641357e9
1.2544976035098852662486024e3,	2.1009400870881744793905455e0,	2.0089211617903978824615479e9
1.2544976035098852662486024e3,	2.1402099952580462272067052e0,	1.9521710636373043060302734e9
1.2544976035098852662486024e3,	2.1794799034279188632012847e0,	1.8992379483313000202178955e9
1.2544976035098852662486024e3,	2.2187498115977914991958642e0,	1.8498959508132686614990234e9
1.2544976035098852662486024e3,	2.2580197197676641351904436e0,	1.8039349254402594566345215e9
1.2544976035098852662486024e3,	2.2972896279375358830066034e0,	1.7611596377757704257965088e9
1.2544976035098852662486024e3,	2.3365595361074085190011829e0,	1.7213889930947072505950928e9
1.4050919770862253699306166e3,	1.9634954084936206974987272e-2,	5.1971738157467950439453125e11
1.4050919770862253699306166e3,	5.8904862254808620924961815e-2,	1.7063878408225476074218750e11
1.4050919770862253699306166e3,	9.8174770424681034874936358e-2,	1.0046556870084162902832031e11
1.4050919770862253699306166e3,	1.3744467859455344882491090e-1,	7.0372067698703247070312500e10
1.4050919770862253699306166e3,	1.7671458676442586277488545e-1,	5.3664518284757774353027344e10
1.4050919770862253699306166e3,	2.1598449493429827672485999e-1,	4.3046981035535743713378906e10
1.4050919770862253699306166e3,	2.5525440310417069067483453e-1,	3.5710054649107795715332031e10
1.4050919770862253699306166e3,	2.9452431127404310462480908e-1,	3.0341736136771377563476562e10
1.4050919770862253699306166e3,	3.3379421944391551857478362e-1,	2.6247102572472232818603516e10
1.4050919770862253699306166e3,	3.7306412761378793252475816e-1,	2.3023700927086387634277344e10
1.4050919770862253699306166e3,	4.1233403578366034647473271e-1,	2.0422342758154697418212891e10
1.4050919770862253699306166e3,	4.5160394395353276042470725e-1,	1.8280496510778137207031250e10
1.4050919770862253699306166e3,	4.9087385212340517437468179e-1,	1.6487638828236486434936523e10
1.4050919770862253699306166e3,	5.3014376029327758832465634e-1,	1.4965999642378816604614258e10
1.4050919770862253699306166e3,	5.6941366846315000227463088e-1,	1.3659272126256750106811523e10
1.4050919770862253699306166e3,	6.0868357663302241622460542e-1,	1.2525691636390291213989258e10
1.4050919770862253699306166e3,	6.4795348480289483017457997e-1,	1.1533630694314374923706055e10
1.4050919770862253699306166e3,	6.8722339297276724412455451e-1,	1.0658703874671787261962891e10
